,neighbourhood_group,room_type,price,property_type,accommodates,bedrooms,bathrooms
4509,Brooklyn,Entire home/apt,100,Entire Unit,4,1.0,1.0
4517,Brooklyn,Private room,90,Private Room,3,1.0,1.0
4523,Brooklyn,Private room,60,Private Room,2,1.0,1.0
4524,Manhattan,Entire home/apt,221,Entire Unit,2,0.0,1.0
4531,Brooklyn,Entire home/apt,119,Entire Unit,2,1.0,1.0
4532,Manhattan,Entire home/apt,100,Entire Unit,4,1.0,1.0
4537,Brooklyn,Entire home/apt,123,Entire Unit,4,0.0,1.0
4539,Manhattan,Entire home/apt,135,Entire Unit,3,1.0,1.0
4541,Manhattan,Private room,99,Private Room,2,1.0,1.0
4542,Brooklyn,Private room,55,Private Room,2,1.0,1.0
4544,Manhattan,Private room,89,Private Room,2,1.0,1.0
4549,Brooklyn,Private room,109,Private Room,4,0.0,1.0
4550,Queens,Entire home/apt,58,Entire Unit,2,1.0,1.0
4553,Queens,Entire home/apt,100,Entire Unit,4,2.0,1.0
4555,Queens,Private room,200,Entire Unit,4,2.0,1.0
4562,Manhattan,Entire home/apt,200,Entire Unit,2,1.0,1.0
4568,Queens,Entire home/apt,60,Entire Unit,2,0.0,1.0
4576,Brooklyn,Private room,75,Private Room,3,1.0,2.0
4583,Queens,Private room,89,Private Room,1,1.0,1.0
4587,Brooklyn,Private room,99,Private Room,2,1.0,1.0
4590,Manhattan,Entire home/apt,225,Entire Unit,2,1.0,1.0
4591,Bronx,Private room,107,Private Room,2,1.0,1.0
4593,Brooklyn,Entire home/apt,200,Entire Unit,4,2.0,1.0
4594,Queens,Private room,42,Private Room,2,1.0,1.0
4595,Brooklyn,Entire home/apt,150,Entire Unit,4,2.0,1.5
4604,Brooklyn,Entire home/apt,275,Entire Unit,7,4.0,2.5
4606,Brooklyn,Private room,100,Private Room,2,1.0,1.0
4609,Manhattan,Entire home/apt,180,Entire Unit,6,2.0,1.0
4620,Brooklyn,Entire home/apt,65,Private Room,2,1.0,1.5
4633,Manhattan,Private room,152,Private Room,2,1.0,1.0
4635,Manhattan,Private room,250,Private Room,2,1.0,2.0
4637,Manhattan,Private room,163,Entire Unit,4,2.0,2.0
4639,Queens,Entire home/apt,87,Private Room,2,1.0,1.0
4645,Brooklyn,Private room,130,Private Room,2,1.0,1.0
4646,Brooklyn,Private room,79,Private Room,1,1.0,2.0
4647,Brooklyn,Private room,69,Private Room,1,1.0,2.0
4648,Brooklyn,Private room,79,Private Room,2,1.0,2.0
4649,Brooklyn,Private room,79,Private Room,2,1.0,2.0
4650,Brooklyn,Private room,69,Private Room,1,1.0,2.0
4651,Brooklyn,Private room,70,Private Room,2,1.0,1.0
4658,Queens,Entire home/apt,195,Entire Unit,4,2.0,1.0
4660,Manhattan,Shared room,250,Shared Room,4,1.0,1.0
