id,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds
40396854,Private room in home,Private room,1,1 shared bath,1,1
40397243,Private room in rental unit,Private room,1,1 shared bath,1,
40397394,Entire rental unit,Entire home/apt,5,1 bath,2,4
40399598,Private room in rental unit,Private room,1,1 shared bath,1,1
40400671,Entire rental unit,Entire home/apt,2,1 bath,1,1
40403226,Private room in rental unit,Private room,1,0 shared baths,,
40403662,Entire townhouse,Entire home/apt,12,3 baths,3,11
40403927,Private room in home,Private room,2,2 shared baths,1,1
40404032,Entire condo,Entire home/apt,4,1 bath,2,2
40405170,Entire rental unit,Entire home/apt,2,1 bath,,2
40405567,Entire rental unit,Entire home/apt,2,1 bath,,1
40406049,Private room in rental unit,Private room,3,1 shared bath,1,1
40407291,Entire rental unit,Entire home/apt,2,1 bath,,
40409517,Entire rental unit,Entire home/apt,2,1 bath,1,1
40418905,Entire rental unit,Entire home/apt,2,1 bath,1,1
40419375,Private room in rental unit,Private room,2,1 shared bath,1,1
40419502,Entire condo,Entire home/apt,2,1 bath,1,1
40424198,Entire rental unit,Entire home/apt,4,1 bath,2,2
40425172,Entire rental unit,Entire home/apt,4,1 bath,1,1
40428207,Private room in rental unit,Private room,2,2 baths,1,1
40430111,Entire rental unit,Entire home/apt,8,1 bath,2,5
40430542,Entire home,Entire home/apt,12,2.5 baths,5,7
40432012,Private room in rental unit,Private room,2,2 shared baths,1,2
40440953,Private room in rental unit,Private room,2,1 shared bath,,1
40444242,Private room in rental unit,Private room,2,1 shared bath,1,1
40445094,Entire rental unit,Entire home/apt,2,1 bath,1,1
40445852,Private room in rental unit,Private room,2,1.5 shared baths,1,1
40445885,Private room in rental unit,Private room,2,1 bath,1,1
40447283,Entire rental unit,Entire home/apt,5,2 baths,3,3
40448123,Entire rental unit,Entire home/apt,6,2 baths,3,4
40448201,Entire rental unit,Entire home/apt,2,1 bath,1,1
40450547,Private room in rental unit,Private room,2,1 shared bath,1,1
40452839,Entire condo,Entire home/apt,2,1 bath,1,1
40453546,Entire rental unit,Entire home/apt,3,1 bath,1,2
40454134,Private room in townhouse,Private room,4,1 shared bath,1,2
40467141,Entire home,Entire home/apt,7,3 baths,4,7
40467322,Private room in rental unit,Private room,2,1.5 baths,1,1
40467433,Entire loft,Entire home/apt,2,1 bath,1,1
40467488,Entire rental unit,Entire home/apt,2,1 bath,1,2
40468300,Entire loft,Entire home/apt,2,1 bath,2,1
40469534,Private room in rental unit,Private room,1,1 shared bath,2,1
40470721,Private room in rental unit,Private room,2,1.5 shared baths,1,1
40472064,Private room in rental unit,Private room,6,2 shared baths,3,3
40472747,Entire rental unit,Entire home/apt,1,1 bath,1,1
40473913,Private room in rental unit,Private room,2,1 shared bath,1,1
40474055,Entire rental unit,Entire home/apt,5,1 bath,2,
40474691,Entire rental unit,Entire home/apt,2,1 bath,2,2
40474721,Private room in home,Private room,2,1 shared bath,1,1
40476469,Private room in rental unit,Private room,2,1 shared bath,1,1
40483741,Entire loft,Entire home/apt,3,1 bath,,3
40484385,Entire rental unit,Entire home/apt,4,1 bath,,
40484867,Private room in rental unit,Private room,2,1 shared bath,1,1
40484899,Entire rental unit,Entire home/apt,2,1 bath,1,1
40488178,Entire condo,Entire home/apt,4,1.5 baths,1,1
40488426,Private room in home,Private room,2,1 shared bath,1,
40491370,Private room in rental unit,Private room,1,1 shared bath,1,1
40491893,Private room in rental unit,Private room,2,1 private bath,1,1
40492034,Entire condo,Entire home/apt,2,1 bath,1,1
40492496,Entire rental unit,Entire home/apt,8,2 baths,4,4
40496135,Private room in rental unit,Private room,1,1 shared bath,1,1
40499408,Private room in rental unit,Private room,1,1 shared bath,1,1
40501316,Entire condo,Entire home/apt,5,1.5 baths,1,2
40501642,Entire rental unit,Entire home/apt,2,1 bath,1,1
40502336,Private room in rental unit,Private room,1,1 shared bath,1,1
40503640,Entire rental unit,Entire home/apt,6,2 baths,2,2
40505752,Shared room in loft,Shared room,2,1.5 shared baths,1,
40506037,Private room in rental unit,Private room,2,1 private bath,1,1
40506237,Entire rental unit,Entire home/apt,3,1 bath,,2
40506862,Private room in home,Private room,1,1 shared bath,1,1
40507751,Entire home,Entire home/apt,8,4 baths,3,4
40508388,Entire rental unit,Entire home/apt,5,2 baths,2,2
40509122,Private room in rental unit,Private room,2,1 shared bath,1,1
40509345,Private room in loft,Private room,2,1 shared bath,3,1
40510964,Private room in rental unit,Private room,1,1 shared bath,1,1
40511239,Private room in condo,Private room,2,1 shared bath,1,1
40511454,Entire home,Entire home/apt,7,1.5 baths,3,3
40513927,Private room in rental unit,Private room,2,1 shared bath,1,1
40516321,Private room in rental unit,Private room,2,2 shared baths,1,1
40517002,Private room in rental unit,Private room,2,2 baths,1,1
40528319,Private room in rental unit,Private room,2,1 bath,1,
40528622,Entire rental unit,Entire home/apt,2,1 bath,1,1
40529147,Entire home,Entire home/apt,5,1 bath,2,2
40529314,Entire rental unit,Entire home/apt,3,1 bath,1,1
40529363,Entire rental unit,Entire home/apt,5,1 bath,2,3
40532296,Entire rental unit,Entire home/apt,4,1 bath,1,2
40532760,Private room in rental unit,Private room,2,1 shared bath,1,
40533508,Entire rental unit,Entire home/apt,4,1 bath,2,3
40533628,Entire rental unit,Entire home/apt,2,1 bath,1,1
