,neighbourhood_group,room_type,property_type,accommodates,bedrooms,bathrooms,log_price
11332,Queens,Entire home/apt,Entire Unit,4,0.0,1.0,4.653960350157523
11333,Brooklyn,Private room,Entire Unit,2,1.0,1.0,4.007333185232471
11334,Queens,Private room,Private Room,1,1.0,1.0,3.8066624897703196
11337,Brooklyn,Private room,Private Room,1,1.0,1.0,4.605170185988092
11343,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,4.787491742782046
11345,Queens,Private room,Private Room,1,1.0,1.0,4.07753744390572
11349,Brooklyn,Private room,Private Room,2,1.0,2.0,4.31748811353631
11352,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.700480365792417
11353,Brooklyn,Private room,Private Room,4,2.0,1.0,4.442651256490317
11354,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.8283137373023015
11355,Brooklyn,Entire home/apt,Entire Unit,4,0.0,1.0,4.6443908991413725
11357,Queens,Entire home/apt,Entire Unit,2,1.0,1.0,4.90527477843843
11358,Queens,Private room,Private Room,4,1.0,1.0,4.3694478524670215
11359,Queens,Private room,Private Room,4,1.0,1.0,4.31748811353631
11360,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,4.90527477843843
11362,Manhattan,Entire home/apt,Entire Unit,1,0.0,1.0,4.709530201312334
11366,Brooklyn,Entire home/apt,Private Room,1,1.0,1.0,4.382026634673881
11369,Queens,Entire home/apt,Entire Unit,2,1.0,1.0,4.04305126783455
11373,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.1588830833596715
11376,Brooklyn,Entire home/apt,Entire Unit,6,2.0,1.0,4.762173934797756
11378,Brooklyn,Entire home/apt,Entire Unit,4,1.0,1.0,5.075173815233827
11379,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.799092654460526
11380,Queens,Private room,Private Room,3,1.0,1.0,3.58351893845611
11382,Brooklyn,Private room,Private Room,2,1.0,1.0,4.941642422609304
11383,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.8283137373023015
11385,Queens,Private room,Private Room,2,1.0,1.0,4.219507705176107
11386,Queens,Private room,Private Room,2,1.0,1.0,4.330733340286331
11387,Brooklyn,Private room,Private Room,4,2.0,2.0,3.871201010907891
11392,Queens,Entire home/apt,Entire Unit,4,1.0,1.0,5.0106352940962555
11393,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,4.59511985013459
11400,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,4.787491742782046
11403,Brooklyn,Private room,Private Room,2,1.0,1.0,4.382026634673881
11404,Manhattan,Private room,Private Room,2,1.0,1.0,4.77912349311153
11406,Queens,Entire home/apt,Entire Unit,3,1.0,1.0,4.867534450455582
11407,Manhattan,Private room,Room In,2,1.0,1.0,4.859812404361672
11408,Brooklyn,Private room,Private Room,1,3.0,2.0,3.5263605246161616
11410,Manhattan,Entire home/apt,Entire Unit,4,1.0,2.0,5.19295685089021
11413,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.68213122712422
11415,Manhattan,Private room,Private Room,2,1.0,1.0,4.8283137373023015
11416,Manhattan,Entire home/apt,Entire Unit,2,1.0,1.0,5.0106352940962555
11418,Brooklyn,Private room,Private Room,1,1.0,0.0,3.912023005428146
11419,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.9344739331306915
11420,Brooklyn,Private room,Private Room,1,3.0,2.0,3.6635616461296463
11421,Staten Island,Entire home/apt,Entire Unit,2,0.0,1.0,4.59511985013459
11422,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.0,5.0106352940962555
11423,Queens,Private room,Private Room,2,1.0,1.0,4.248495242049359
11430,Brooklyn,Private room,Private Room,2,1.0,1.0,3.5553480614894135
11434,Queens,Entire home/apt,Entire Unit,2,0.0,1.0,4.382026634673881
11435,Brooklyn,Private room,Private Room,3,3.0,1.0,3.4657359027997265
11436,Manhattan,Entire home/apt,Entire Unit,4,1.0,1.0,5.521460917862246
11438,Manhattan,Private room,Private Room,2,1.0,1.0,4.61512051684126
11439,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.605170185988092
11442,Manhattan,Private room,Private Room,2,1.0,1.0,4.31748811353631
11448,Manhattan,Entire home/apt,Entire Unit,2,0.0,1.0,4.653960350157523
11449,Brooklyn,Private room,Private Room,2,1.0,1.0,4.48863636973214
11451,Brooklyn,Private room,Private Room,2,1.0,1.0,3.912023005428146
11453,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,4.709530201312334
11454,Brooklyn,Private room,Private Room,2,1.0,1.0,4.499809670330265
11455,Brooklyn,Entire home/apt,Entire Unit,3,1.0,1.0,4.48863636973214
11456,Brooklyn,Private room,Private Room,1,1.0,1.0,3.784189633918261
11458,Brooklyn,Private room,Private Room,4,2.0,2.0,4.276666119016055
11466,Brooklyn,Entire home/apt,Entire Unit,2,0.0,1.5,4.48863636973214
11468,Brooklyn,Entire home/apt,Entire Unit,2,1.0,1.0,5.19295685089021
11470,Brooklyn,Private room,Private Room,2,1.0,1.0,3.9889840465642745
11475,Brooklyn,Entire home/apt,Entire Unit,4,2.0,1.0,5.1647859739235145
11476,Brooklyn,Private room,Private Room,1,1.0,1.0,4.382026634673881
11479,Queens,Entire home/apt,Entire Unit,6,2.0,1.0,4.553876891600541
11486,Brooklyn,Private room,Private Room,2,1.0,1.0,4.605170185988092
11488,Queens,Private room,Private Room,3,1.0,1.0,4.007333185232471
11489,Brooklyn,Private room,Private Room,2,1.0,1.0,3.6635616461296463
11491,Queens,Entire home/apt,Entire Unit,2,1.0,1.0,3.8066624897703196
