id,accommodates,bathrooms_text,bedrooms,beds
276021,4,2 baths,2,2
276317,5,2 baths,3,3
277883,2,1 bath,1,1
278090,2,1 bath,1,1
278145,1,2 shared baths,1,1
278876,2,1 shared bath,1,1
279857,16,4 baths,8,18
281521,4,1 bath,2,2
281756,2,1 bath,2,2
281851,2,0 shared baths,1,3
282443,2,1 bath,1,1
282977,6,1 private bath,4,4
283550,3,1 bath,1,1
285515,2,1 bath,1,1
286662,2,1 bath,,1
286838,1,1 bath,1,1
287397,6,1 bath,2,2
287408,2,1 bath,1,1
287845,4,1 bath,2,2
288726,2,Private half-bath,1,1
289020,2,1 bath,1,1
289665,3,1 bath,1,1
289703,2,1 bath,1,1
290123,2,1 bath,1,1
292121,3,1 bath,1,1
292324,1,1.5 baths,1,1
292637,3,1 bath,1,1
292800,2,1 bath,1,1
294227,4,1 bath,1,2
294242,4,1 bath,1,2
294250,2,1 bath,1,2
294259,4,1 bath,1,2
294263,4,1 bath,1,2
294280,4,1 bath,1,2
295231,1,1 shared bath,1,1
295998,2,1 bath,1,1
296361,1,Shared half-bath,1,2
296717,3,1 bath,1,1
298759,2,1 shared bath,1,1
299062,2,1 shared bath,1,1
299531,7,2 baths,3,4
301372,1,1 shared bath,1,1
302238,9,1 bath,2,9
302280,9,1 bath,1,3
302309,9,1 bath,2,7
302705,1,1 bath,1,1
302758,2,1 bath,1,2
303264,10,1 bath,2,6
305211,4,1 bath,2,3
305245,9,1 bath,2,3
306799,4,1 private bath,1,2
310524,2,1 shared bath,1,1
311356,2,1 private bath,2,2
312415,2,1 private bath,2,3
314982,2,1 shared bath,1,1
318021,1,1 shared bath,1,1
319646,5,1 bath,2,3
320877,4,1 bath,2,2
321014,4,1.5 baths,2,1
321136,2,1 bath,,1
322037,5,1 bath,1,4
324800,2,1 bath,1,1
325429,2,1 bath,1,1
326832,2,1 bath,1,4
328040,4,2 baths,2,2
328744,6,1 bath,2,3
328788,2,1 shared bath,2,1
329310,2,1 bath,1,1
333323,1,1 bath,1,1
334607,2,1 bath,2,2
334781,2,1 shared bath,1,1
342995,2,1 private bath,1,1
343276,2,1 shared bath,1,2
343971,2,1 shared bath,1,1
344092,2,1 bath,1,1
346579,2,1 bath,1,
350168,2,1 bath,2,2
351859,2,1 bath,1,1
352651,2,1 shared bath,1,1
353317,2,1 private bath,1,1
355106,2,1 shared bath,1,1
355563,6,2 baths,3,6
363016,3,1 bath,2,3
364785,2,1 shared bath,1,1
367810,1,1 shared bath,2,1
373618,2,1 shared bath,1,1
378460,4,1 bath,2,2
380416,2,1 bath,1,1
380730,3,1 bath,1,1
382523,3,1 bath,1,1
382524,4,1 private bath,1,3
385657,1,1 bath,1,1
385824,5,1 bath,2,4
386744,1,1 shared bath,1,1
386799,5,1 bath,1,2
387666,2,2 shared baths,2,3
387735,2,1 bath,1,1
389482,2,1 bath,1,1
392948,1,1 shared bath,1,3
394111,2,2 baths,1,1
396636,2,1 bath,,1
397034,1,1 bath,1,1
397297,4,2 baths,1,1
399946,2,1 bath,2,2
400039,3,1 bath,1,1
403712,3,1 bath,1,1
404923,2,1 bath,1,1
405025,5,1 bath,1,6
407469,2,1 shared bath,1,1
408491,2,1 bath,1,1
408983,4,1 bath,1,3
409262,5,1 bath,2,3
409666,4,1 bath,1,2
411918,6,1 bath,3,4
413504,2,1 private bath,1,1
415304,1,1 bath,1,1
416557,2,1 bath,1,1
417685,6,1 bath,2,3
419373,3,1 bath,1,
419792,4,1 bath,2,2
421539,4,1 bath,2,2
423015,2,1 shared bath,1,1
423275,3,1 bath,1,1
428226,1,1 shared bath,1,1
430427,2,1 bath,1,1
430665,4,1 bath,1,2
431865,5,1 bath,2,3
432090,1,1 shared bath,1,1
432823,2,1 bath,,1
433218,3,1 bath,1,1
433414,2,1 bath,1,1
437352,3,1 bath,2,1
437906,2,2 baths,1,1
438513,2,1 bath,2,1
439870,5,2 baths,4,4
442636,5,1 bath,1,2
442649,4,1 bath,1,1
443646,2,3 baths,1,1
444171,2,1.5 baths,1,
444430,1,1 bath,1,1
447766,1,1 bath,1,1
448048,2,1 shared bath,1,1
448049,2,1 shared bath,1,1
449660,2,1 shared bath,1,2
450577,2,1 bath,1,2
452068,5,2 baths,4,4
452093,2,1 bath,1,1
452541,2,1 bath,1,1
453094,2,1 private bath,1,1
453255,3,1 bath,2,2
453317,2,1 shared bath,1,1
454334,3,1 bath,1,1
454763,2,1 bath,2,2
455734,2,1 bath,1,1
455801,1,1 shared bath,3,3
456110,4,1 bath,1,1
456190,2,1 bath,1,1
456457,4,1 bath,2,2
456578,1,1 shared bath,1,1
457829,4,1 bath,1,4
459066,2,1 bath,1,1
460999,4,1 bath,2,4
463107,7,1 bath,3,6
464231,3,1 shared bath,1,1
465706,2,1 bath,1,1
466277,5,1 bath,2,3
466457,3,1 bath,2,2
467569,2,1 bath,1,1
467634,3,1 shared bath,1,3
467866,2,1 shared bath,1,1
470330,1,1 shared bath,1,1
470498,2,1 bath,1,1
471712,2,1 shared bath,1,1
471758,5,2 baths,3,4
471845,4,1 bath,2,2
471914,4,1 shared bath,1,1
474283,2,1 bath,1,1
476841,2,1 shared bath,1,1
476899,3,1 bath,1,2
476983,2,1.5 shared baths,1,2
478053,2,1 shared bath,1,1
478832,4,1 bath,2,2
479002,6,2 baths,4,5
479285,1,1 bath,1,1
483414,2,1 shared bath,1,1
483505,3,1 bath,1,2
484297,10,4.5 baths,5,6
484312,7,2.5 baths,3,3
484728,3,1 bath,1,2
489018,2,1 bath,1,2
490278,2,1 bath,1,1
491123,2,1 shared bath,1,1
491529,5,2 baths,3,3
491942,2,1 bath,1,1
492785,2,1 bath,1,2
492810,2,1 bath,2,1
494296,1,1 bath,1,1
495249,2,1 shared bath,1,1
